Product Name,Code,Department,BP,SP,WP,TRANSCOUNTY_MAIN,TRANSCOUNTY_ANNEX,PEAKFARM,TOTAL_STOCK
Unga FastGrow Broiler Starter Crumbs 50kg ,FEEDS,AGROVET,4160.0,4800.0,4800.0,-1,0,0,-1
Unisate 480 SL 1 ltr ,HERBICIDES,AGROVET,500.0,800.0,700.0,-1,0,0,-1
Unisate 480 SL 500ml ,HERBICIDES,AGROVET,300.0,450.0,400.0,-1,0,0,-1
Urea 1kg ,FERTILIZER,AGROVET,104.0,120.0,120.0,-1,0,0,-1
Urea Bora Bora 50kg,FERTILIZER,AGROVET,110.0,120.0,120.0,-1,0,250,249
Urea Chapa Meli 50kg,FERTILIZER,AGROVET,104.0,120.0,120.0,-1,0,0,-1
Urea Chapa Solai 25kg,FERTILIZER,AGROVET,104.0,120.0,120.0,-1,0,0,-1
Urea Falcon 10kg,FERTILIZER,AGROVET,125.0,150.0,145.0,-1,0,0,-1
Urea Falcon 25kg,FERTILIZER,AGROVET,116.0,120.0,120.0,-1,0,125,124
Urea Falcon 50kg,FERTILIZER,AGROVET,104.0,120.0,120.0,-1,0,0,-1
Urea Simba 25Kg,FERTILIZER,AGROVET,104.0,120.0,120.0,-1,0,0,-1
Urea Simba 50Kg,FERTILIZER,AGROVET,98.0,120.0,120.0,-1,0,-1,-2
Urea Thabiti 10Kg,FERTILIZER,AGROVET,104.0,120.0,120.0,-1,0,0,-1
Urea Thabiti 50Kg,FERTILIZER,AGROVET,104.0,120.0,120.0,-1,0,0,-1
Utramix maziwa 1kg,SUPPLEMENT,AGROVET,160.0,250.0,160.0,-1,0,0,-1
Utramix maziwa 5kg,SUPPLEMENT,AGROVET,650.0,850.0,700.0,-1,0,0,-1
Valbazen 100ml ultravetis,DEWORMER,AGROVET,195.0,250.0,250.0,-1,0,0,-1
Valbazen 120ml ultravetis,DEWORMER,AGROVET,620.0,800.0,800.0,-1,0,0,-1
Valbazen 40ml ultravetis,DEWORMER,AGROVET,215.0,250.0,250.0,-1,0,0,-1
Vectoclor Plus 100 ml,-,AGROVET,460.0,650.0,600.0,-1,0,0,-1
Vegimax 30ml,FOLIA FERTILIZER,AGROVET,80.0,150.0,120.0,-1,0,0,-1
Vet Fostyl 25gm,-,AGROVET,150.0,250.0,200.0,-1,0,0,-1
Vetoxy 20 pct 100g,ANTIBIOTICS,AGROVET,232.0,350.0,350.0,-1,0,4,3
Vetoxy 20 pct 25g,ANTIBIOTICS,AGROVET,60.0,150.0,150.0,-1,0,0,-1
Vital Joto 1kg,SUPPLEMENT,AGROVET,140.0,250.0,200.0,-1,0,0,-1
Vital maziwa 1kg,SUPPLEMENT,AGROVET,190.0,250.0,220.0,-1,0,0,-1
Vital maziwa 2kg,SUPPLEMENT,AGROVET,370.0,500.0,380.0,-1,0,0,-1
Vital maziwa 5kg,SUPPLEMENT,AGROVET,980.0,1300.0,1100.0,-1,0,0,-1
Vital ndama 1KG,SUPPLEMENT,AGROVET,130.0,250.0,200.0,-1,0,0,-1
Vitaphos Biomin 2kg,MINERALS,AGROVET,130.0,150.0,150.0,-1,0,0,-1
Vitaphos Biomin 5Kg,MINERALS,AGROVET,505.0,700.0,650.0,-1,0,0,-1
Vitaphos Maziwa 2kg,MINERALS,AGROVET,220.0,300.0,300.0,-1,0,1,0
Vitapower 100ml,SUPLEMENT,AGROVET,165.0,250.0,250.0,-1,0,0,-1
WS DK 777 2kg,SEEDS,AGROVET,800.0,1000.0,1000.0,-1,0,0,-1
Water Melon 25g-EAsukari,SEEDS,AGROVET,780.0,950.0,750.0,-1,0,0,-1
Water Melon 50g-EAsukari,SEEDS,AGROVET,1260.0,1500.0,1400.0,-1,0,0,-1
Water Melon-Crimson Sweet 25gm,SEEDS,AGROVET,200.0,300.0,250.0,-1,0,0,-1
Water Melon-Sugar Baby 25gm,SEEDS,AGROVET,145.0,200.0,200.0,-1,0,0,-1
Water for injection 10ml,MISC,AGROVET,5.0,10.0,10.0,-1,0,0,-1
Water guard 150ml,MISC,AGROVET,25.0,50.0,40.0,-1,0,0,-1
Watering can 8lts,PUMPS,AGROVET,260.0,450.0,350.0,-1,0,0,-1
Weedal 1 lt,HERBICIDES,AGROVET,800.0,900.0,800.0,-1,0,0,-1
Weedal 480 5l,HERBICIDES,AGROVET,1900.0,600.0,,-1,0,0,-1
Weedal 5 lt,HERBICIDES,AGROVET,4300.0,5000.0,4500.0,-1,0,0,-1
Weedal 500ML,HERBICIDES,AGROVET,450.0,550.0,500.0,-1,0,0,-1
Weedmaster 1 l,HERBICIDES,AGROVET,1100.0,1500.0,1300.0,-1,0,0,-1
Weedmaster 5 l,HERBICIDES,AGROVET,4800.0,5200.0,,-1,0,0,-1
Wormcid 1TR,-,AGROVET,350.0,450.0,370.0,-1,0,0,-1
Wormicid 1g,-,AGROVET,17.0,30.0,20.0,-1,0,0,-1
Wormifas 500ml,DEWORMER,AGROVET,120.0,250.0,230.0,-1,0,0,-1
Wormitrex 1 ltr,-,AGROVET,160.0,250.0,200.0,-1,0,0,-1
Yara Amidas 50kg,FERTILIZER,AGROVET,5650.0,6000.0,5000.0,-1,0,0,-1
Yara Mila 50kg,FERTILIZER,AGROVET,1900.0,2300.0,2300.0,-1,0,0,-1
Yara power 1kg,FERTILIZER,AGROVET,100.0,120.0,120.0,-1,0,0,-1
Yara power 50kg,FERTILIZER,AGROVET,3350.0,3200.0,3150.0,-1,0,0,-1
Zerokrim tabs,DEWORMER,AGROVET,50.0,80.0,70.0,-1,0,0,-1
Zetanil 120g,FUNGICIDES,AGROVET,225.0,330.0,330.0,-1,0,13,12
Zetanil 1kg,FUNGICIDES,AGROVET,1450.0,1700.0,1700.0,-1,0,3,2
Zetanil 240g,FUNGICIDES,AGROVET,425.0,600.0,600.0,-1,0,15,14
Zetanil 40g,FUNGICIDES,AGROVET,110.0,150.0,150.0,-1,0,10,9
Zetanil 500g,FUNGICIDES,AGROVET,750.0,1000.0,950.0,-1,0,3,2
kaolin bp 100g Norbrook,MINERALS,AGROVET,40.0,70.0,50.0,-1,0,0,-1
syringe 60cc,CONSUMABLES,AGROVET,38.0,80.0,50.0,-1,0,0,-1
vitaphos Maziwa 1kg,MINERALS,AGROVET,110.0,150.0,150.0,-1,0,12,11
